input_index,orig_root,orig_stem,orig_leaf,orig_fruit,orig_fruit_margin,pred_root,pred_stem,pred_leaf,pred_fruit,fruit_margin,num_point_differences,orig_length,generated_length
128,2.769009,2.893984,2.73768,2.553494,-0.34048999999999996,2.9381284713745117,2.9232547283172607,2.878079414367676,4.55576229095459,1.6176338195800781,97,165,165
129,1.325803,1.332721,1.246991,1.140169,-0.19255200000000006,5.3986406326293945,5.45945930480957,5.442512035369873,7.15976619720459,1.7003068923950195,107,165,165
130,2.965335,2.887761,2.702609,2.718751,-0.24658399999999991,6.078591346740723,6.193091869354248,6.0330939292907715,7.962520122528076,1.7694282531738281,102,165,165
131,2.731337,2.711673,2.531489,2.31453,-0.4168069999999999,9.300665855407715,9.663262367248535,9.618291854858398,11.671709060668945,2.00844669342041,119,165,165
132,1.961943,1.949486,1.817044,1.739866,-0.22207700000000008,0.4281953275203705,0.180658757686615,0.1959092915058136,1.9380232095718384,1.509827882051468,92,165,165
133,4.248913,4.348576,4.161924,4.059122,-0.2894540000000001,8.107503890991211,8.40632438659668,8.236380577087402,10.040534973144531,1.6342105865478516,92,165,165
134,2.833741,2.902663,2.708003,2.595607,-0.3070559999999998,2.125880241394043,2.288034200668335,2.2735939025878906,3.839221715927124,1.551187515258789,102,165,165
135,0.427971,0.375969,0.343525,0.31099,-0.116981,2.363295555114746,2.1564860343933105,2.035886287689209,4.014256000518799,1.6509604454040527,111,165,165
136,1.681497,1.594375,1.523876,1.435827,-0.24567000000000005,2.5852813720703125,2.456035852432251,2.503214120864868,4.473093509674072,1.8878121376037598,98,165,165
137,1.715837,1.598305,1.454306,1.40191,-0.31392700000000007,1.4610159397125244,1.376121997833252,1.2779276371002197,2.793839454650879,1.3328235149383545,82,165,165
138,3.196407,3.281575,3.123673,2.92822,-0.3533550000000001,4.411516189575195,4.682690620422363,4.619449138641357,6.6054158210754395,1.9227252006530762,121,165,165
139,0.693897,0.63996,0.587777,0.590145,-0.10375199999999996,5.274991035461426,5.2867631912231445,5.216937065124512,7.0564680099487305,1.769704818725586,116,165,165
140,1.902507,1.905736,1.773155,1.744457,-0.16127900000000017,1.5783469676971436,1.122253179550171,1.0433764457702637,4.272241592407227,2.693894624710083,109,165,165
141,2.743334,2.737227,2.579353,2.567057,-0.1762769999999998,8.499478340148926,8.706878662109375,8.64688777923584,10.252147674560547,1.5452690124511719,101,165,165
142,2.07922,2.156822,2.04021,2.008546,-0.14827600000000007,2.37400484085083,2.25197434425354,2.3208818435668945,3.988112211227417,1.614107370376587,101,165,165
143,2.80843,2.876059,2.722724,2.532143,-0.3439160000000001,3.8687009811401367,3.9750864505767822,3.9955079555511475,5.950281143188477,1.954773187637329,100,165,165
144,1.164691,1.16373,1.083248,0.955213,-0.20947799999999994,2.7646336555480957,2.76420521736145,2.6805899143218994,4.5252366065979,1.7606029510498047,112,165,165
145,2.423029,2.497666,2.350451,2.242742,-0.2549240000000004,5.221920490264893,5.094834327697754,4.9696364402771,6.452730178833008,1.2308096885681152,98,165,165
146,2.437167,2.401309,2.234777,2.100024,-0.3371430000000002,1.859053134918213,1.68296480178833,1.6019287109375,3.3439126014709473,1.4848594665527344,84,165,165
147,1.50863,1.526616,1.425134,1.401792,-0.12482400000000005,1.7113330364227295,1.7745616436004639,1.7320328950881958,3.6525442600250244,1.8779826164245605,103,165,165
148,1.608719,1.60072,1.490417,1.363701,-0.24501799999999996,2.773949146270752,2.64621639251709,2.5583250522613525,4.527652263641357,1.7537031173706055,122,165,165
149,3.776136,3.903335,3.786034,3.731521,-0.17181400000000036,2.721782684326172,2.3652753829956055,2.447854518890381,4.716452598571777,1.9946699142456055,103,165,165
150,3.41334,3.576108,3.432064,3.322127,-0.253981,4.291650772094727,4.4013543128967285,4.360074520111084,6.550568580627441,2.149214267730713,117,165,165
151,3.096476,3.229503,3.065405,3.123714,-0.10578899999999969,6.788949966430664,6.768894195556641,6.568607330322266,9.557044982910156,2.768095016479492,117,165,165
152,3.957233,4.082385,3.907507,3.868059,-0.21432600000000024,12.18068790435791,12.389355659484863,11.930587768554688,14.29179573059082,1.902440071105957,112,165,165
153,3.321201,3.34913,3.187306,3.119041,-0.230089,7.554343223571777,7.685610771179199,7.6837568283081055,9.115985870361328,1.430375099182129,89,165,165
154,2.999798,2.962532,2.796513,2.668413,-0.33138500000000004,7.600172996520996,7.781628608703613,7.654876708984375,9.679765701293945,1.898137092590332,91,165,165
155,1.435055,1.430985,1.327227,1.232904,-0.20215099999999997,2.6551451683044434,2.7430880069732666,2.70849609375,4.633746147155762,1.8906581401824951,112,165,165
156,2.965356,3.003054,2.825046,2.61203,-0.39102400000000026,4.782673358917236,4.700466632843018,4.480831623077393,6.896522521972656,2.11384916305542,131,165,165
157,2.063021,2.063902,1.943208,1.85388,-0.21002200000000015,6.2890825271606445,6.540909767150879,6.400694847106934,8.130133628845215,1.589223861694336,116,165,165
